Sentences,Propaganda (Optional),Fake/Legit,Sentiment,Bots (Optional),Topic (Domain),Source,Why Fake? (Optional),MSA or ALG dialects ,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,
الصحفي أسامة وحيد Oussama Wahid يتهم موقع El khabar - الخبر بحذف موضوع مفاده أن ولاية تيزي وزو احتلت المركز الأول في الباكالوريا، مؤكدا عدم صحة الخبر,No,Fake (Lie),Neutral,No,Education,,الحقيقة الموقع لم يحذف الموضوع ، فهو منشور منذ 18 جويلية. ثم أنه تأكد من عدة مصادر أن تيزي وزو احتلت فعلا المركز الأول.,MSA,758,596,81,76,1,,4,131,1168292423342760,
"رويترز :  إقالة مدير الديوان الوطني للحبوب ""أثار قلق فرنسا الشديد""",Yes,Fake (Lie),Negative,No,Business,," مقال رويترز لم يذكر أن إقالة مدير الديوان الوطني للحبوب ""أثار قلق فرنسا الشديد"" بل ذكر فرنسا فقط لقول ""الجزائر تستورد أغلب قمحها من فرنسا مما يجعلها أكبر مستورد للقمح الفرنسي""",MSA,913,762,59,89,2,,1,205,1168241180014550,
" فرنسا ""تخسر 2 ملاير في القمح"" في 2019",No,Fake (Lie),Negative,No,Business,," فرنسا لم ""تخسر 2 ملاير في القمح"" بل يبدو أن مجال القمح الفرنسي يحقق أرقام جيدة لحد الآن في 2019، مصادر متخصصة تتكلم عن خسارة مبلغ 2 ملايير في مجال القمح لكن كان هذا في 2016 ",MSA,913,762,59,89,2,,1,205,1168241180014550,
هدا التصريح لمصطفى بوشاشي في مداخلته على راديو تحدث فيها عن المتورطين في الفساد,Yes,Fake (Lie),Positive,No,Politics,,"لم يصدر هذا التصريح عن مصطفى بوشاشي في مداخلته على راديو M. المرة الوحيدة التي تحدث فيها على تحرير المساجين كانت في الدقيقة 36 وأكد على مساجين الرأي معطيا مثالا بالمناصر الموقوف في مصر بسبب لافتة ""يتنحاو قاع"" وحاملي الرايات، ولم يتحدث مطلقا عن المتورطين في الفساد. المداخلة كاملة في الرابط أسفله: https://soundcloud.com/radiom-la-radio-libre/5sur5-du-04082019                       ",MSA,1.3K,1.1K,42,131,9,2,13,162,1179394272232570,
الجزائر تستورد نصف إنتاج فرنسا من القمح,Yes,Fake (Lie),Negative,No,Business,, الجزائر لم تستورد نصف إنتاج فرنسا من القمح. الجزائر إستوردت 4،9 مليون طن قمح من فرنسا [1] بينما فرنسا أنتجت 37 مليون طن[,MSA,913,762,59,89,2,,1,205,1168241180014550,
 الجزائر تشارك في كأس القارات,No,Fake (Lie),Positive,No,Sports,,لا الجزائر لن تشارك في كأس القارات لأنه وببساطة تم حذف هذه المنافسة ليتم استبدالها بكأس عالم للأندية بصيغة جديدة,MSA,475,406,33,25,4,7,,44,1168207276684610,
بلماضي يقصف صحافية سنغالية قالت له: السنغاليون استحوذوا أكثر منكم على الكرة ولعبوا بشكل جيد !!  فرد قائلاً: نحن سنأخذ الكأس🏆 إلى الجزائر 🇩🇿 وأنتم مبروك عليكم...,No,Fake (Lie),Positive,No,Sports,,لم يدل الناخب الوطني بهذا التصريح خلال الندوة الصحفية (الرابط أسفله) ولم تنقله أي وسيلة إعلامية ذات مصداقية. https://youtu.be/8J8RZuWwX1U,MSA,783,651,80,49,1,,2,38,1167466303425370,
رئيس المخابرات الروسية #لوكالة #إنترفاكس : نصيحتي للبعض إبتعدو عن الجزائر دعوهم وشأنهم لاتستهينو بهم قدراتهم العسكرية انها أكبر بكثير مما تظنون و إدا أحسسنا بأي,No,Fake (Lie),Positive,No,Politics,,لا أثر لهذه التصريحات لرئيس المخابرات الروسية سيرجاي ناريشكين، لا على وكالة انترفاكس ولا غيرها.,MSA,723,449,242,29,2,1,,114,1165733730265290,
#خبر_عاجل مقتل مدرّب منتخب جنوب إفريقيا حَالَ عودته من الكان رمياً بالرّصاص!!!  افريقيا اللعينة !!,No,Fake (Lie),Negative,No,Sports,,لا لم يقتل مدرب جنوب إفريقيا،  الشخص المغتال هو لاعب سابق لجنوب إفريقيا يدعى مارك باشلور,MSA,433,392,4,18,13,6,,25,1165725466932790,
#عاااااااااااااجل   🔴 غلق الحدود مع تونس  🔴 بعد أوامر عليا  السلطات الجزائرية  في تبسة  تغلق اليوم معبر بوشبكة الحدودي مع تونس في إنتضار 2 اوت بغلق كل المعابر...,No,Fake (Lie),Negative,No,Politics,,لا، لم يتم غلق معبر بوشبكة الحدودي بين الجزائر وتونس! خبر انتشر كثيرا رغم أنه دائما بدون مصدر و منقول. الخبر إشاعة كما أكدته صفحة النقابة الأساسية لمركز شرطة الحدود بوشبكة (تونس).  ,MSA,381,340,14,22,3,,2,39,1165577763614220,
 المنتخب الوطني يشارك في كوبا أمريكا 2020,No,Fake (Lie),Positive,No,Sports,,لا. المنتخب الوطني لن يشارك في كوبا أمريكا 2020. الفرق المشاركة هي قطر (للمرة الثانية) و أستراليا,MSA,318,261,39,15,,,3,22,1165298380308830,
حالة التأهب الأمني المعلنة في العاصمة الفرنسية باريس  ب3000 شرطي كان من إجل مباراة  الجزائر ضد نيجيريا,No,Fake (Lie),Neutral,No,Other,,حالة التأهب الأمني المعلنة في العاصمة الفرنسية باريس تتعلق باحتفالات 14 جويلية. لا يوجد أي مصدر تحدث عن علاقة هذا الموضوع مع مباراة الجزائر ضد نيجيريا,MSA,242,202,29,11,,,,32,1163600640478600,
" #فضيل_بومالة  داخل مقر الإتحاد الاوروبي  يشرح لاسياده  الأزمة الجزائرية ،   في محاولات حثيثة  لطلب مساعدة دول أجنبية ""تدويل الأزمة الجزائرية""  هناك نية مبيتة...
",No,Fake (Lie),Negative,No,Politics,,الفيديو يعود إلى سنة 2010 خلال ندوة للإتحاد الإوروبي حول حرية التعبير. https://youtu.be/HnXO0aif1wM🔴,MSA,431,362,26,36,4,1,2,37,1163573563814640,
مداخلات بوشاشي أو طابو يطلبون فيها تعيين سعيد باي مكان ڨايد صالح,Yes,Fake (Lie),Negative,No,Politics,,لا يوجد أي أثر لمداخلات بوشاشي أو طابو يطلبون فيها تعيين سعيد باي مكان ڨايد صالح كما تنص عليه صفحة ولاد الجباس.,MSA,482,418,7,35,6,1,15,86,1163430140495650,
"#الجزائر_تعيد_فتح_ملف_ديزرتيك_مع_ألمانيا  تفاصيل أضخم مشروع إقتصادي ألماني جزائري تم تعطيله عبر شرذمة اللوبي الفرنسي المتمركزة في مفاصل مؤسسات الدولة 

صرح وزير الإقتصاد الألماني أن فرنسا هي من عطلت المشروع و تسلم المغرب المشروع",Yes,Fake (Lie),Negative,No,Business,,"مشروع ديزيرتيك يخص كل شمال إفريقيا والشرق الأوسط وليس الجزائر فحسب. - لم يصرح وزير الإقتصاد الألماني أن فرنسا هي من عطلت المشروع، وقد نشرنا في أفريل الماضي التكذيب الرسمي لسفارة ألمانيا في الجزائر  - لم تتسلم المغرب المشروع بل أقامت مشروعا آخر باسم ""نور"" سلم الشطر الأول منه في  2016 وينتهي في 2020 نشر البارحة الموقع الألماني هاندلسبلات مقالا مطولا حول مشروع ديزيرتيك ، ولم يتطرق فيه إلى أي اتفاق مع الجزائر،  ولم يذكرها بشكل خاص بل تحدث عن شمال إفريقيا بصفة عامة. ",MSA,477,409,22,45,1,,,57,1163069247198410,
.#الكاف_تختار_أحسن_صورة_في_كأس_افريقيا  من مقابلة الجزائر مع  كوت ديفوار والتي تظهر اللاعب ديلور بعد اللقاء ،فعوضا أن يفرح مع زملائه... ذهب ليواسي المنافس اللاعب,No,Fake (Lie),Positive,No,Sports,,لم تختر الكاف هذه الصورة كأحسن صورة في دورة كأس أمم إفريقيا، قامت فقط بنشرها على صفحتها مع عدة صور أخرى لأجواء مابعد المباريات,MSA,442,350,58,33,,,1,32,1163040353867970,
موقع الجزائر1: أكبر مركب للطاقة الشمسية بالعالم بتكلفة 500 مليار بالمغرب,No,Fake (Lie),Positive,No,Technology,," المشروع المغربي ""نور"" تم تسليم الشطر الأول منه في 2016 وينتهي إنجازه في 2020. وسيكون بذلك أكبر مركب للطاقة الشمسية بالعالم. وتقدر تكلفته ب8 مليار دولار",MSA,370,301,40,24,4,1,,67,1162430113928990,
حوادث في احتفالات انصار المنتخب الوطني مونبلييه ، فرنسا,No,Fake (Lie),Negative,No,Sports,,القناة CNEWS تؤكد أن الحادث الذي وقع في مونبيليي البارحة لا علاقة له باحتفالات الجزائريين بعد التأهل ضد كوت ديفوا,MSA,145,128,,9,1,1,6,9,1162221287283210,
المصارعة المشاركة في دورة الكاراتيه في تونس ترفع الراية الأمازيغية,Yes,Fake (Lie),Neutral,No,Sports,,الصحيح من الخطأ فيما يتعلق بقضية المصارعة المشاركة في دورة الكاراتيه في تونس: فعلا أخذت المصارعة صورة رافعة للراية الأمازيغية ولكن كان ذلك بعد أخذ الصورة الرسمية للتتويج بالراية,MSA,517,398,2,89,3,1,24,154,1160702644101740,
تمويل شركة كوندور للكيان الصهيوني:,No,Fake (Lie),Negative,No,Sports,,وضيح فيما يخص شائعة تمويل شركة كوندور للكيان الصهيوني: - كوندور مول دورة الفوت فولي وليس المنتخب الإسرائيلي المشارك في الدورة - منتخبات أخرى شاركت في الدورة كانت تحمل أقمصة بنفس العلامات التجارية.,MSA,322,276,26,17,,,3,91,1159827364189260,
في ذكرى 5 جويلية ..... الفرق بين دولة الإمارات العربية المتحدة الشقيقة ودولة خرنسا الإرهابية الإستدمارية العدوة . الآن انتم تعرفون من صنع الفرشيطة ومن يعترف بها...في ذكرى 5 جويلية ..... الفرق بين دولة الإمارات العربية المتحدة الشقيقة ودولة خرنسا الإرهابية الإستدمارية العدوة . الآن انتم تعرفون من صنع الفرشيطة ومن يعترف بها...,Yes,Fake (Lie),Negative,No,Politics,,"الصورة مأخوذة في أوت 2017 بمناسبة استقدام اللاعب البرازيلي نيمار إلى فريق باريس سان جرمان وهي تمثل ألوان العلم البرازيلي ولا علاقة لعيد استقلال الجزائر ولا للراية الأمازيغية بالموضوع   https://www.ojogo.pt/internacional/noticias/interior/psg-anuncia-chegada-de-neymar-com-torre-eiffel-a-mistura-8683557.html
",ALG,502,329,128,39,3,,3,58,1158551807650150,
حسب قناة البلاد قال التلفزيون الجزائري أن لخضر بورقعة متهم بتقمص شخصية رابح مقراني ,No,Fake (Lie),Neutral,No,Politics,,في حين أن البيان الصحفي لنيابة الجمهورية لمحكمة بئر مراد رايس يأكد أن التهمتين الموجهتين للسيد بورقعة هما المساهمة في إضعاف الروح المعنوية للجيش في وقت السلم وإهانة هيئة نظامية.,MSA,296,228,13,3,8,6,38,40,1154425421396130,
الدكتور المتخصص في الأعصاب بن عبيد عليم لويس حائز على جائزة نوبل للطب في 2016,No,Fake (Lie),Positive,No,Other,,الدكتور المتخصص في الأعصاب بن عبيد عليم لويس ليس حائزا على جائزة نوبل للطب في 2016 كما ادعت Télévision Algérienne - المؤسسة العمومية للتلفزيون الجزائري، حيث عاد التتويج للياباني ياشينوري أوسومي. يذكر إن الدكتور عبيد حاز على جائزة لاسكار التي يعتبرها البعض النسخة الأمريكية لجائزة نوبل، وقد كان ذلك في 2014. ,MSA,285,229,28,24,2,1,1,18,1153926124779390,
حفيظ دراجي يتمنى فوز مصر بكاس امم افريقيا,No,Fake (Lie),Positive,No,Sports,,"السؤال كان : ماهي ""توقعاتك"" بالنسبة للفائز بالدورة (كأس أمم إفريقيا) وليس ""من تتمنى"" كما تروج له هذه الصفحة",MSA,249,208,22,14,3,,2,30,1153748478130490,
قناة النهار : وفاة الرئيس التونسي,No,Fake (Lie),Negative,No,Politics,https://www.facebook.com/1763695987088849/posts/1842905019167945,بعد مرور أكثر من 24 ساعة على تكذيب خبر وفاة الرئيس التونسي من طرف مستشار رئاسي ، النهار لم تحذف بعد خبر الوفاة من صفحتها، ولم تقدم أي اعتذار,MSA,178,135,23,4,3,2,11,25,1153147971523870,
تقرير اليتيمة حول مسيرات الجمعة 21 جوان مناوشات حدثت بين متظاهرين حول العلم الأمازيغي، نحي علام  الفرشيطة تاعكم و حط علام الفرشيطة تاعنا  صحاب لفراشط تخلطت بيناتهم الماك منظمة فرنسية انفصالية ارهابية,No,Fake (Lie),Negative,No,Politics,ttps://www.facebook.com/274924419212346/posts/2405853286," ما قامت به التلفزة الجزائرية ""العمومية"" بعد مسيرات الجمعة الماضية حيث استعملت فيديو  قديم لمناوشات حدثت بين متظاهرين حول العلم الأمازيغي خلال الجمعة 7 جوان على أساس أنها جديدة  . محاولة تغليط واضحة...   تقرير اليتيمة حول مسيرات الجمعة 21 جوان https://www.youtube.com/watch?v=eGWP6eJq6_o&feature=share",ALG,370,254,5,11,32,4,64,49,1152435414928460,
هل تعلم انها في الجزائر؟  صحراء لمنيعة                                https://www.globe-trotting.com/single-post/Le-desert-blanc-des-Lencois-Maranhenses,No,Fake (Lie),Positive,No,Other,,"ليس المنيعة بل البرازيلنكذبوش عليكم, كرهنا من تكذيب هذا النوع من الأخبار التافهة التي لديها هدف واحد هو ربح الإعجابات. من جانب آخر هذا مؤشر جيد لمعرفة مصداقية صفحة. لذا نطلب منكم رأيكم : هل نواصل نشر هذا النوع من التكذيبات أو نكتفي بكل ما يخص الحالة السياسية و الإجتماعية في الجزائر ؟ (التصويت يتم بـ لايك في التعليقات) [1] https://www.globe-trotting.com/single-post/Le-desert-blanc-des-Lencois-Maranhenses",MSA,557,429,81,38,3,2,4,138,1151525255019480,
 محمد العربي زيطوطي دعو لحرق العلم الوطني,No,Fake (Lie),Negative,No,Politics,صفحة أولاد الجباس ,صفحة أولاد الجباس تنشر جزء من فيديو للناشط محمد العربي زيطوط حاولت من خلاله اتهامه بالدعوة لحرق العلم الوطني، لكن عند مشاهدة الفيديو كاملا نفهم أن زيطوط كان قد دعى إلى حرق رايات الدول المساندة للنظام الجزائري. الفيديو في الرابط أسفله. https://youtu.be/jejeVx4PYRA,MSA,293,255,6,28,2,1,1,62,1151135685058430,
ارتفاع قيمة الدينار بالنسبة للأورو 20/06/2019,No,Fake (Lie),Positive,No,Business,,لم ترتفع قيمة الدينار في الأيام الأخيرة، على العكس فقد سجلت انخفاضا ب 0.8 بالمئة منذ  20/06/2019. يمكن الإطلاع على إحصائيات تطور قيمة الدينار بالنسبة للأورو في الخمس أيام الأخيرة، على مدى الشهر، وخلال السنة الجارية.,MSA,385,310,47,22,2,4,,40,1150279731810690,
 صور مجاهدات جزائريات ضد فرنسا https://www.franceinter.fr/emissions/la-marche-de-l-histoire/la-marche-de-l-histoire-24-janvier-2017 ,No,Fake (Lie),Positive,No,Other,,هذه الصور عبر صفحات جزائرية على أنها لمجاهدات جزائريات. لكن الصورة في الحقيقة لمناضلات أيطاليات خلال الحرب العالمية الثانية خلال تحرير ميلانو,MSA,333,255,50,24,3,1,,26,1150068151831850,
صور سجن الحراش من الداخل,No,Fake (Lie),Positive,No,Other,,سجن الحراش تاع تونس  المنشور الكاذب: https://www.facebook.com/1291873780892204/posts/2306506402762265/,MSA,347,227,101,15,4,,,34,1149966925175310,
زبيدة عسول ع تغيير العلم الوطني,No,Fake (Lie),Negative,No,Politics,,بعد تفحص الفيديو لتدخل زبيدة عسول يمكننا أن نأكد أن التصريحات المنسوبة لها غير صحيحة بتاتا وتم إخراجها عن سياقها. بحيث كان تطرقها لمسألة العلم الوطني ردا على سؤآل أحد الحضور إن كانت مع تغيير العلم الوطني، فكان جوابها أن هذا الأمر يرجع للشعب لأننا ديمقراطيون. فيما يخص المادة الثانية قالت بأنه من وجهة نظرها الدولة كشخص معنوي لا يمكن أن نلحق بها ديانة على عكس الأفراد. لكن أكدت أن المسألة لابد أن تعالج في إطار دستور جديد يصوت عليه الشعب. -  الفيديو في الرابط أسفله https://youtu.be/KWQEDJgeoOQ,MSA,512,433,23,45,,4,7,165,1148843791954290,
صور احتجاجات انصار شبيبة القبائل   https://www.europe1.fr/sport/Une-banderole-de-8-km-pour-River-Plate-384302,No,Fake (Lie),Negative,No,Sports,,الصورة من الأرجنتين وليست من تيزي وزو.  وكانت خلال أحد استعراضات فريق ريفربلايت في 2012.,MSA,543,399,97,27,14,1,5,50,1148516901986980,
هذا هو تاريخ القايد صالح قاهر  و هادم المعبد على كهنته الفريق أحمد قايد صالح : 🔵شارك في حرب التحرير و إلتحق بجيش التحرير الوطني في 1955 و عمره 16 سنة و 4...يحيا الشيباني ورجال الضل هذا هو تاريخ القايد صالح قاهر الزواف و هادم المعبد على كهنته  الفريق أحمد قايد صالح : 🔵شارك في حرب التحرير و إلتحق بجيش التحرير الوطني...,Yes,Fake (Lie),Positive,No,Politics,,الشخص على الصورة ليس القايد صالح..,MSA,578,393,123,56,4,1,1,49,1157066494465350,
هبة مقدمة من المملكة السعودية والمتمثلة في 350 طن من التمرللجزائر ,No,Fake (Lie),Positive,No,Other,,حسب وكالة الأنباء الجزائرية ، الهبة المقدمة من المملكة السعودية والمتمثلة في 350 طن من التمر، هي في الحقيقة موجهة للاجئين الصحراويين وليس للجزائر كما كانت قد صرحت به وكالة الأنباء السعودية وتم نقله عبر مواقع وصحف جزائرية.,MSA,172,146,21,5,,,,32,1148061538699180,
عمال قنصلية الجزائر في نيويورك باللقب والاسم وتاريخ ومكان الميلاد من مصدر موثوق علما أن القنصل قبائلي من تيزي وزو واثنين من بناته تعملان في القنصلية .#فاصل_توعوي_صادم رقم 03: فاصل مع الاحتلال القبايلي لوزارة الخارجية الجزايرية والسفارات و القنصليات من طرف الدشرة  او الاقلية .... شارك على اوسع نطاق ليعلموا...,No,Fake (Lie),Neutral,No,Politics,,"القنصل العام للجزائر بنيويورك هي السيدة صبرية بوقادوم [1] ولا يظهر لا إسمها ولا إسم أولادها في القائمة المزعومة. كما أن المنشور يدعي الكشف عن قائمة ""عمال قنصلية الجزائر"" بينما القائمة الرسمية الموجودة في موقع القنصلية  لا تحتوي على أي من هذه الأسماء [2] [1] https://www.algeria-cgny.org/biography/ [2] https://www.algeria-cgny.org/cg-staff/",MSA,177,146,7,17,4,1,2,25,-49.85714286,
توقيف النقابي سيدي السعيد من قبل طائرة عسكرية في الجو,No,Fake (Lie),Neutral,No,Politics,,فيما يخص صور توقيف النقابي سيدي السعيد من قبل طائرة عسكرية في الجو 😂:  بغض النظر عن كون الصور مأخوذة في إقليم صحراوي في حين أن الرحلة كانت نحو اسبانيا ... الصور تم تداولها من قبل بعض الصفحات في 2017...وهي حسب بعض متابعينا مركبة وليست حقيقية.,MSA,242,178,58,4,,1,1,32,1144574449047890,
الجزائر تزخر بمناظر طبيعية رائعة واحة الواتة بشار,No,Fake (Lie),Positive,No,Other,,"الجزائر تزخر بمناظر طبيعية رائعة ، لسنا بحاجة لاستعمال صور من بلدان أخرى للترويج لجمالها. الصورة لواحة هواكاشينا بدولة البيرو وليست من الواتة بشار. موقع سياحي لواحة هواكاشينا https://huacachinaoasis.pe/
",MSA,318,252,39,22,2,2,1,23,1144340265737970,
صورة لبوتفليقة مع  بابلو اسكوبار https://www.algerie-focus.com/2015/04/photo-bouteflika-comme-vous-ne-lavez-jamais-vu/?cn-reloaded=1 ,No,Fake (Lie),Neutral,No,Politics,,الشخص برفقة بوتفليقة على الصورة ليس بابلو اسكوبار بل هو السياسي العراقي حسن العلوي  https://www.zamanalwsl.net/news/article/49179,MSA,249,194,44,11,,,,17,1143783355793670,
 وزارة الصحة الجزائرية تضع الرقم 1214 للطوارئ,No,Fake (Lie),Positive,No,Other,,الرقم 1214 لا يخص وزارة الصحة الجزائرية، بل هي مبادرة لوزارة الصحة اللبنانية... 22628 نشر للخبر على صفحة واحدة ... الكارثة في مثل هذه الحالات أنه من بين الأشخاص الذين تلقوا المعلومة هناك من سيواجه حالة طارئة ويضيع وقته في محاولة الإتصال برقم وهمي...,MSA,214,171,3,15,4,15,6,9,1142430862595580,
أكياس مليئة بغاز الهيدروجين موضوعة في حقول القمح تم العثور عليها في بعض الولايات الشرقية أثناء عملية تمشيط لأصحاب الحقول هذه الاكياس في داخلها غاز سريع الاشتعال.,No,Fake (Lie),Positive,No,Other,https://www.facebook.com/BANIMA3ROF.MOA7EDEN.DRUZ/photos/pcb.2873873775962008/2873873712628681,"حذاري يبدو أنه هناك تغليطات كثيرة فيما يخص حكاية احتراق حقول القمح.  حكاية أكياس الهيدروجين تم نشرها في صفحات و مواقع سورية منذ حوالي 10 أيام [1][2] و يوجد حتى فيديو [3]. رغم أن الصفحة الجزائرية عدلت المنشور لإضافة ""الصورة ليست من مزارعنا"" لكن حتى النص هو نسخة من نص ظهر كذلك في صفحة سورية [1] https://twitter.com/QalaatAlMudiq/status/1134083301084487680 [2] https://twitter.com/YousefKaddour82/status/1133796787343568901 [3] https://twitter.com/YousefKaddour82/status/1133844058990886912 [4] ",MSA,229,189,12,19,6,,3,23,1139997506172250,
حرق محاصيل القمح  باستعمال عدسات مكبرة في بسكرة,No,Fake (Lie),Negative,No,Business,,"الصورة من الموصل بالعراق وليست من بسكرة، حيث قام تنظيم داعش باستعمال عدسات مكبرة لحرق محاصيل الأسر التي لم تدفع الزكاة.
Source: https://southfront.org/isis-cells-using-magnifying-lenses-to-set-fire-to-crops-in-iraq-photos/",MSA,219,176,5,14,20,,4,20,1139467569558580,
